fen,eval_cp
r4nnr/2p4p/2k5/5bp1/p1P2b2/1P1P3N/P3K3/R6R w - - 0 26,-680
1r3b1r/1p2p1pp/p1p1bp1n/1P3P2/2pkB3/7P/P2BPK1P/2R4R w - - 1 23,-231
2b5/B2nk3/p7/6pp/P6P/5N2/3P2P1/RN2K2R w - - 1 26,950
r1b1kbnr/pp1pppp1/2n4p/2P5/1q5N/2P5/PP2PPPP/RNBQKB1R w Qkq - 1 8,693
7r/4pQkp/p5p1/5R2/7b/1p3N1P/P7/5K1R b - - 3 39,-719
7r/1k6/8/p1n5/4P1b1/P7/2P4K/8 w - - 1 39,-741
rnbqkbnr/p1pp2pp/8/1p3p2/P7/5N2/1PPPPPPP/RNBQKB1R b KQkq - 0 4,-224
5r1q/2p3bp/2kp1p2/p4p2/1BpP2b1/PP6/7P/RN2K2R b - - 0 23,757
r1bqkbnr/1p1pp1pp/2n2p2/p1P2P2/6P1/8/PPP1P2P/RNBQKBNR b KQkq - 0 5,20
1n3b1r/2p5/3p2pp/1k5n/1P2pN2/B1P1PP2/1N2K1PP/7R b - - 1 28,-112
2b1qb2/r3pk2/7r/ppP4N/2p4p/N4P2/P1n1BK1P/R1B1R3 w - - 8 25,-505
5bnr/4pBp1/2p2k2/1p1r1pp1/2P4P/R1PP4/3P1P2/1NB1KR2 w - - 1 24,582
r1R1k3/1p2n3/8/1N2Pp2/1PB2P2/8/6nr/2K5 b - - 4 31,541
r2k1b2/2p1p1p1/1pn3b1/p5K1/PPP1p3/6P1/6q1/5B1R b - - 0 34,5000
rnbq1k1r/pp2n1p1/2p5/3p1pNp/1P3p2/P1NPb3/R1P1P1PP/2KQ1B1R w - - 2 12,-632
8/3Nn3/5p2/p2N1b2/2k5/p5r1/7K/R7 w - - 2 31,-45
rnb2k1r/ppN1pp1p/5np1/2q5/2P4P/P2P2P1/3bPP2/R2K1BNR w - - 0 14,-681
4b3/1k6/p1p1pB2/8/P1P2P2/NP3Krp/R6P/R7 w - - 5 41,832
r1bqkbnr/ppppp1pp/n4p2/8/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 1 3,132
2bk2n1/8/3Bp3/q4P2/6r1/1P1p1K2/2P1P2P/r4BNR b - - 0 25,5000
6n1/4k1r1/p3p2p/7b/4q2p/5QPN/PPN2P2/R2K1B1R w - - 0 24,538
5R2/2p5/1bB2Pk1/1p6/3b4/2P3P1/2K5/8 b - - 12 39,-329
b4rn1/2P3p1/2n2r2/p2BpkP1/3P4/N7/P2N1P1P/R2K2R1 w - - 1 26,787
r1b2b2/1pp2k1K/2n3p1/p3Pp2/2P2Br1/N2Q2P1/P3P2P/R4BNR b - - 5 24,257
rn2kbnr/2p1ppp1/p7/3p3p/8/1PPP1b2/P3P2P/R1BQKB2 b Qkq - 1 11,262
1r6/2pk1p2/5p1p/pp4p1/P2P4/5P2/4PK2/1R3R2 b - - 2 27,-460
r3kb2/4pp2/6pr/2Pp1b1p/7n/P1NP2KP/1P2NRP1/R7 w - - 2 32,50
rnb1k1nr/pppp1p1p/5q2/2b3p1/3P1pP1/8/PPP1PK1P/RNBQ1BNR w kq - 0 6,164
2bqr3/2pnrp2/5k2/3P1P1p/p2P2BP/3PB1K1/PP4P1/1R5R b - - 2 27,682
2b1r3/1rN1p1k1/3p3n/P7/3b2P1/2PK3P/P4P2/2BB4 b - - 2 30,615
r1bqkb2/p1p3p1/2n1pp1n/1p6/4p1P1/P1P2P1B/1P1P4/RNBQK1N1 w Qq - 0 15,-286
1r2k1nr/pp2b1pp/8/2npQb2/5P2/B5K1/P5P1/R4BNR w - - 3 22,666
2bk2r1/1p1p2bp/6p1/2Bn4/1r2p3/4P1PP/P2P3R/RN2KB2 w Q - 0 21,148
1R3b2/1p2kp2/2p2n2/6B1/1P2p1B1/8/3N1P1K/6N1 b - - 1 27,-694
rnq1kb1r/1pp2np1/4p1B1/p2p4/1P6/3P4/P1P1PP1P/RNBQK1NR w KQkq - 2 9,470
1N5r/2N1kp2/3p1n1p/8/8/4PP2/5P1P/4R1K1 b - - 0 28,-95
1rr5/p2nQk1p/5pp1/3P4/8/P1p2N2/N1P3PP/R1B1K2R b KQ - 3 20,-632
r2qkbnr/3bp1pp/1pn2p2/P1p5/3p2PP/2PPPN2/P4PB1/RNBQK2R b KQkq - 0 10,-41
2b5/1r6/4ppkn/2R5/3p4/3P1PPN/8/3NKB2 w - - 1 32,558
r1bqkbnr/pppnpppp/8/3p4/1P6/N4P2/P1PPP1PP/R1BQKBNR b KQkq - 0 3,219
1n6/1Pk5/5n2/2p3pp/2R1Pp2/3P1P2/3K4/7B b - - 10 40,-216
2r5/n1p3pp/4p2n/2k2p2/5P2/1P1b1B2/2PB1KPP/5R2 w - - 2 27,77
5bn1/2q1k3/2npp3/2p3p1/6P1/1P4r1/N1PP4/R1BKQ3 w - - 0 19,210
q4k2/2p2p2/2P4p/3pp3/8/R2B1P2/5PP1/4K3 b - - 3 26,684
r1b1k1r1/1p3p1p/3Bp3/p1p5/P7/1PN1P2K/2PPP2P/R3QBR1 b q - 2 15,-530
rB2q2r/6kp/1pn4n/p3pbp1/8/1PK3P1/P3PP1P/1RQ2B1R w - - 2 21,-488
2b4r/r3k2p/p3P3/1ppp2p1/3P4/6P1/P1R2N2/3QKB1R b - - 1 25,-830
1n4k1/4n1r1/5p2/2p5/7P/PKP5/3N1p2/1R6 w - - 1 37,-275
1r1k2nr/Nb5p/1p4p1/3p3P/n2P1K2/7R/2P1P1P1/R4BN1 w - - 1 21,319
6r1/4pp2/4k2b/2p4K/2P4P/3P4/8/6RR b - - 2 40,-190
r1b1k2r/pp1pq1pp/n6n/2Q2p2/8/N3p3/PPP1PPPP/R3KBNR b kq - 3 12,789
rn1qkb2/p1p1ppp1/3p1n2/1p5r/P2P3P/R7/1PPN1P2/2BQKBNR b Kq - 1 10,-532
rn4k1/1p5N/1p2p3/p1p5/P3P3/1P1KpBr1/8/RN6 w - - 6 32,-373
rnbqkbr1/p1pp2pp/4P2n/1p6/5N2/3P4/PPP2PPP/RNBQKB1R b KQq - 0 6,-298
r2q3r/p1p1p2p/1p1k1p2/3n4/4P3/5P2/R3K3/7R b - - 4 39,823
rnbqk2r/p2p2pp/5n2/1pp3B1/1b1p1p2/P1P4P/RP1QPPP1/4KBNR b Kkq - 0 11,460
4kb1r/2Q1pnp1/8/5p1p/1B3P2/PR1P1n1N/8/4K2R w - - 2 25,742
r5r1/2p1k1p1/B1n1p2n/8/4pP2/P1P5/PB5P/RK4b1 w - - 1 29,-546
2k5/6p1/2p2p2/6BP/1rP3p1/3P2P1/P3P3/R2K1B2 b - - 3 34,-577
8/5rk1/4p3/pp4P1/5P2/P1Pp4/6K1/7R b - - 1 37,202
4k3/4b1pr/p2p1p1n/8/7p/2p2Q1P/5p1P/1NK3R1 b - - 1 29,807
1r5r/p3bk2/6p1/1p1P4/P7/6pP/7P/R3K2R b KQ - 0 27,531
rnbqkb1r/p2p1ppp/4pn2/1pp5/3P1P2/2P2N1P/PP2P1P1/RNBQKB1R b KQkq - 1 5,119
r5nr/ppp1kp2/n2q1p1p/4p3/1P6/P4P1N/2P1PPBP/1RB1K2R b K - 5 14,583
1n2kbnr/4p1p1/1QN2p2/1p1p3p/8/3P1NP1/1PP4P/r1B2RK1 w k - 0 13,5000
r1bnkbnr/2pp1ppp/1p2p1Q1/p7/8/N1PPP3/P4PPP/R1B1KBNR w KQkq - 2 9,639
7r/4p3/n3k1pp/p3P1p1/4B3/3P1PP1/P2P1bP1/RNB2K2 b - - 1 27,-465
2bk4/r2p2R1/p6r/5p1p/1P3P2/b1P5/R7/3K4 b - - 0 27,468
r5nr/1p1kp3/p1pp4/5nP1/P7/1P1p3B/1B2P3/RK1Q4 w - - 2 30,696
r3kb1r/pp3pp1/3Q3p/8/P3P1nP/2R5/5P2/5KNR w - - 1 19,539
rn3bnr/1p1kp1p1/pq2bp2/2Pp3p/8/P4P1P/2PPPKP1/1RB1QBNR w - - 1 13,647
r7/3k4/p3p2n/2B1Prp1/2P1P3/6P1/6P1/2K2B2 b - - 0 36,660
6n1/1k6/6r1/2pbBp2/2P5/5P2/4P1P1/4KB2 b - - 1 40,453
2b3nr/2p5/p7/3P1p2/5k2/2B5/5bP1/1K3B2 b - - 1 32,790
r7/1pp2k1r/6p1/3n4/p1pKnPb1/N7/P2R4/2R5 b - - 10 36,880
6nr/r3b2p/k1Pp1pp1/7b/1p2PP1P/8/3K2P1/8 b - - 1 35,944
2bq2n1/rppPbk2/8/p3r2p/5p2/2N5/PPPKPPPP/1RQ2B1R w - - 0 14,-204
rn6/1p6/p3kppR/4p3/4P3/3K1P2/6P1/RN3B2 w - - 0 35,664
1n6/3bk2p/8/rp1p1pn1/8/2P1P1P1/2P1K3/1N2B3 b - - 1 30,789
rnb4r/2pk2pp/8/pp1n1p2/P4P2/1P1P2P1/2PBP3/2R1KBR1 b - - 2 18,127
rnb2bnr/pp5p/8/2pkN3/Pq2pP1P/2P5/1P1PB1P1/RNB1K2R b KQ - 0 14,321
2rq3r/p1pnp3/2pNk3/5pP1/5B2/P1b5/1Pb2PP1/R2nK1N1 w Q - 2 18,-856
3k4/8/5ppp/1P6/5P2/2Rr4/3B3P/3K2N1 w - - 4 41,839
5b2/p3k3/5n1p/2P5/2P2K2/1P2pP2/1R6/8 w - - 3 37,198
r4knr/1p1b1ppp/p3p3/2pp2P1/8/P1P2K1P/1B1PP3/RN3BbR b - - 0 15,-128
1B2k3/3b3r/1p2p3/p4n1p/2P5/1P1K3P/P2P2P1/3Q1BNR b - - 2 26,-721
r1bqkb1r/1pppppp1/n7/p2nP1P1/P1P2Q1p/7N/1P1P1P1P/RNB1KB1R b KQk - 0 9,490
1n1qkbnr/rppbp1p1/p2p3p/5p2/7P/1P4P1/P1PPPP2/RNBQKBNR w KQk - 3 7,59
1r3b2/pb1k1p2/4p1p1/1pP5/P1P5/4nR1r/1P2PP1R/1N2KBN1 w - - 1 18,402
1nb1k2r/1pppnpp1/r2b3p/4p3/5N2/4PQ2/PPPP1PP1/RNB1K2R b Qk - 1 8,-363
8/4k3/3p1R2/8/1Pp1P1b1/6q1/P7/R4K2 b - - 0 36,665
2bk4/8/4p3/1p2P1pr/1b2p1P1/2p2N1P/4KP2/6R1 w - - 2 33,-171
rn1qk1nr/pp6/5p2/2ppP1pp/8/2PbPN2/PP1PB1PR/RNBQK3 b Qkq - 0 12,-238
5Qnr/rp4p1/1k6/2pp1b1p/2P2p2/5P2/1P1PP1PP/1NB1KBNR w K - 1 15,5000
rn2k2r/pp2q1pp/7n/4bb2/2P4P/3B4/PBPP1PP1/RN1QK2R b KQ - 1 12,646
2b2k2/8/rpB4p/p6P/P6P/2p5/P4P2/RN2K1R1 b Q - 0 25,-658
2b5/1p1p3p/7k/4KP2/2Pb3p/RP5B/8/1N6 w - - 2 39,677
r1bk1bnr/4p1p1/pp1p1p2/2p4p/7P/1PNN1PP1/q1PBPK2/R2Q1B1R w - - 0 14,867
rn2kbnr/p1p2ppp/1p1R4/1q2p3/7P/N1P1B3/PP2P1Q1/4KBNR b Kkq - 2 13,-366
B6R/2kp4/2n2B2/p1p5/4P3/1b1P4/P1P1K3/Rr6 w - - 1 36,732
rnb2bnr/1p4pp/p1kpp3/6B1/2PP4/PP6/4PPPP/2R1KBNR w K - 4 12,-113
rn1k3r/p1p1b2p/1p4p1/4Pp2/8/3bP2Q/PP4PP/1RB2KNR w - - 0 22,323
3r4/3p2k1/6pb/6p1/8/4PR2/4N3/1N5K b - - 2 39,-18
1n3qn1/1bpppk2/8/5p1p/R3N3/2P3P1/1P5P/2BK2NR b - - 2 21,512
rn2kb1r/p1pq3p/b2p1B2/1p2p3/5N2/1P1P4/P1P1PPPP/1R1QKBNR b Kkq - 0 9,-413
rnb4r/2pp4/3k1n2/p7/1PQpP3/N5P1/P3KP2/4RB2 b - - 0 28,-426
2bq1k2/1pp5/2N5/2P1K2B/3p1P2/p7/R4n2/2B1b3 b - - 4 31,713
rnbqkbnr/2pppppp/1p6/p6Q/8/4P3/PPPP1PPP/RNB1KBNR w KQkq - 0 3,-21
rnbqkbnr/pp1ppp1p/8/2p3p1/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 3,29
1nbqkbnr/3pppp1/rpp4p/P7/5P2/B6P/P1PPP1PR/RN1QKBN1 b Qk - 0 7,130
5Q2/pbkn2r1/1p6/8/PP3P2/3P4/4K2P/R1B2B1R b - - 0 32,-557
2b3kr/1n6/4pppn/2p4p/2P4N/6PP/1R1PPP1R/1NBQKB2 w - - 1 18,1102
3k1bn1/2p2R2/1pB1p3/6p1/1P6/5PP1/4N3/R3K1r1 w - - 4 34,736
5b2/8/3N4/3pkP1p/7P/1p5P/1P1KP3/8 w - - 1 36,16
2b4b/rp3k2/n2p2pB/p4p2/P1P5/3Q1r2/4P2P/5RK1 b - - 4 33,706
r1bqkb1r/p1pppp1p/np5n/6p1/1P5P/2P3P1/P2PPP2/RNBQKBNR w KQkq - 1 5,363
r3k3/p2B4/n7/2p4p/2P5/RP2p3/2K1P3/8 b - - 3 31,26
rnbqk1nr/ppppppb1/8/6p1/P6p/7N/RPPPPPPP/1NBQKB1R w Kkq - 0 6,-10
rnbqkb1r/pp1ppppp/7n/2p5/8/1PP5/P2PPPPP/RNBQKBNR w KQkq - 0 3,22
r1b1kbnr/1p1p3p/n7/2p2p2/p2P4/1P2P1KP/P1P1q1P1/R1BQ2NR w kq - 2 15,377
3r4/r2bn2p/n3pk2/ppp3p1/6P1/1P5P/P1PPP2R/3R1BK1 b - - 0 24,554
rn1qkbnr/1ppbp1pp/p7/1P1p1p2/3B1P2/6P1/P1PPP2P/RN1QKBNR w KQkq - 0 7,-24
rn1qkb1r/pbpppppp/1p3n2/8/7P/N3PP2/PPPP2P1/R1BQKBNR b KQkq - 0 4,115
r1bqkb1r/1ppnnp1p/p5p1/4p3/P1p1P2P/8/1PPPNPP1/R1BQKBR1 w Qkq - 0 8,-542
8/2pk4/4pp2/8/b7/8/1R4P1/4K3 b - - 3 35,12
rnbqkb2/pppp1ppr/4pn1p/8/2P3Q1/NP2P3/P2P1PPP/R1B1KBNR b KQq - 1 5,687
3r4/1ppk1b2/7n/p3p3/P3P2R/3K4/1PP5/2BN4 b - - 1 29,-2
r4b1r/3k4/2R1pnpp/1p1p4/1n4PP/8/2PPP1B1/2BQK1NR w K - 2 16,410
4k1nr/p1p1p3/2p1b1pb/P4p1p/7r/2N3PB/3BPP2/1R1QK1NR w K - 5 16,936
4qbn1/3kn1pr/3p1B2/2p5/4P1pP/3P1P1N/r1P5/R3KB1R b K - 1 20,526
rnb1k2r/p1p2ppp/1p2p2n/3p4/1P1P4/1PP1P3/5qP1/RN1QKBNR w KQkq - 0 9,666
rn2R3/1p6/2p1bk2/p1P5/P7/8/3K4/8 w - - 5 40,-452
