timestamp,move_number,side,move_uci,fen,depth,nodes,qnodes,cutoffs,tt_hits,tt_probes,max_ply,max_qply,time_ms,eval_cp
2026-02-16T15:22:21.181144,1,white,g1f3,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,4,577,370,147,61,577,4,6,65,0
2026-02-16T15:22:21.218861,2,black,g8f6,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,4,301,228,50,45,301,4,10,37,25
2026-02-16T15:22:21.279892,3,white,b1c3,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,4,436,351,103,51,436,4,8,60,0
2026-02-16T15:22:21.325239,4,black,b8c6,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,4,293,280,48,28,293,4,8,45,28
2026-02-16T15:22:21.396993,5,white,d2d4,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3,4,357,454,64,45,357,4,10,71,0
2026-02-16T15:22:21.451101,6,black,d7d5,r1bqkb1r/pppppppp/2n2n2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 3,4,347,326,58,49,347,4,7,54,20
2026-02-16T15:22:21.557694,7,white,c1e3,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,4,458,680,64,56,458,4,16,106,3
2026-02-16T15:22:21.658505,8,black,c8e6,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N1BN2/PPP1PPPP/R2QKB1R b KQkq - 1 4,4,460,637,90,33,459,4,15,100,23
2026-02-16T15:22:21.794239,9,white,f3g5,r2qkb1r/ppp1pppp/2n1bn2/3p4/3P4/2N1BN2/PPP1PPPP/R2QKB1R w KQkq - 2 5,4,537,867,123,31,537,5,14,135,1
2026-02-16T15:22:21.918428,10,black,e6f5,r2qkb1r/ppp1pppp/2n1bn2/3p2N1/3P4/2N1B3/PPP1PPPP/R2QKB1R b KQkq - 3 5,4,367,831,43,55,367,4,16,124,6
2026-02-16T15:22:22.240324,11,white,a1c1,r2qkb1r/ppp1pppp/2n2n2/3p1bN1/3P4/2N1B3/PPP1PPPP/R2QKB1R w KQkq - 4 6,4,729,2207,147,36,729,5,15,321,-6
2026-02-16T15:22:23.174739,12,black,a8c8,r2qkb1r/ppp1pppp/2n2n2/3p1bN1/3P4/2N1B3/PPP1PPPP/2RQKB1R b Kkq - 5 6,4,2653,6355,511,82,2653,5,24,934,2
2026-02-16T15:22:23.390548,13,white,h2h3,2rqkb1r/ppp1pppp/2n2n2/3p1bN1/3P4/2N1B3/PPP1PPPP/2RQKB1R w Kk - 6 7,4,992,1414,220,42,992,5,11,215,-17
2026-02-16T15:22:23.538456,14,black,h7h6,2rqkb1r/ppp1pppp/2n2n2/3p1bN1/3P4/2N1B2P/PPP1PPP1/2RQKB1R b Kk - 0 7,4,558,1024,71,56,558,5,14,147,-7
2026-02-16T15:22:23.659966,15,white,g5f3,2rqkb1r/ppp1ppp1/2n2n1p/3p1bN1/3P4/2N1B2P/PPP1PPP1/2RQKB1R w Kk - 0 8,4,635,806,110,35,635,5,9,121,-19
2026-02-16T15:22:23.750762,16,black,e7e6,2rqkb1r/ppp1ppp1/2n2n1p/3p1b2/3P4/2N1BN1P/PPP1PPP1/2RQKB1R b Kk - 1 8,4,455,574,105,59,455,5,10,90,-19
2026-02-16T15:22:23.872034,17,white,f3e5,2rqkb1r/ppp2pp1/2n1pn1p/3p1b2/3P4/2N1BN1P/PPP1PPP1/2RQKB1R w Kk - 0 9,4,627,803,104,62,627,5,9,121,-19
2026-02-16T15:22:23.997534,18,black,f8d6,2rqkb1r/ppp2pp1/2n1pn1p/3pNb2/3P4/2N1B2P/PPP1PPP1/2RQKB1R b Kk - 1 9,4,526,774,154,35,526,5,12,125,-11
2026-02-16T15:22:24.199157,19,white,e5c6,2rqk2r/ppp2pp1/2nbpn1p/3pNb2/3P4/2N1B2P/PPP1PPP1/2RQKB1R w Kk - 2 10,4,673,1356,144,41,673,5,10,201,-48
2026-02-16T15:22:24.257128,20,black,b7c6,2rqk2r/ppp2pp1/2Nbpn1p/3p1b2/3P4/2N1B2P/PPP1PPP1/2RQKB1R b Kk - 0 10,4,384,352,80,25,384,4,6,57,-7
2026-02-16T15:22:24.392717,21,white,g2g4,2rqk2r/p1p2pp1/2pbpn1p/3p1b2/3P4/2N1B2P/PPP1PPP1/2RQKB1R w Kk - 0 11,4,758,838,176,53,758,4,9,135,-62
2026-02-16T15:22:24.540098,22,black,f5g6,2rqk2r/p1p2pp1/2pbpn1p/3p1b2/3P2P1/2N1B2P/PPP1PP2/2RQKB1R b Kk - 0 11,4,570,915,147,57,570,4,12,147,-16
2026-02-16T15:22:24.638446,23,white,f1g2,2rqk2r/p1p2pp1/2pbpnbp/3p4/3P2P1/2N1B2P/PPP1PP2/2RQKB1R w Kk - 1 12,4,407,600,83,58,407,5,9,98,-28
2026-02-16T15:22:24.773276,24,black,e8g8,2rqk2r/p1p2pp1/2pbpnbp/3p4/3P2P1/2N1B2P/PPP1PPB1/2RQK2R b Kk - 2 12,4,625,866,120,61,625,6,10,134,-20
2026-02-16T15:22:24.917666,25,white,e1g1,2rq1rk1/p1p2pp1/2pbpnbp/3p4/3P2P1/2N1B2P/PPP1PPB1/2RQK2R w K - 3 13,4,413,1009,93,58,413,5,11,144,-28
2026-02-16T15:22:25.462858,26,black,f8e8,2rq1rk1/p1p2pp1/2pbpnbp/3p4/3P2P1/2N1B2P/PPP1PPB1/2RQ1RK1 b - - 4 13,4,1569,3765,319,107,1569,6,12,545,-20
2026-02-16T15:22:25.908550,27,white,f1e1,2rqr1k1/p1p2pp1/2pbpnbp/3p4/3P2P1/2N1B2P/PPP1PPB1/2RQ1RK1 w - - 5 14,4,1329,3151,189,121,1329,5,11,445,-28
2026-02-16T15:22:26.283794,28,black,e6e5,2rqr1k1/p1p2pp1/2pbpnbp/3p4/3P2P1/2N1B2P/PPP1PPB1/2RQR1K1 b - - 6 14,4,783,2657,137,33,783,5,14,375,-29
2026-02-16T15:22:26.723591,29,white,a2a3,2rqr1k1/p1p2pp1/2pb1nbp/3pp3/3P2P1/2N1B2P/PPP1PPB1/2RQR1K1 w - - 0 15,4,878,3054,242,63,878,5,17,439,-37
2026-02-16T15:22:28.901449,30,black,a7a6,2rqr1k1/p1p2pp1/2pb1nbp/3pp3/3P2P1/P1N1B2P/1PP1PPB1/2RQR1K1 b - - 0 15,4,3198,15645,458,125,3198,6,18,2177,-32
2026-02-16T15:22:30.025888,31,white,d1d2,2rqr1k1/2p2pp1/p1pb1nbp/3pp3/3P2P1/P1N1B2P/1PP1PPB1/2RQR1K1 w - - 0 16,4,2239,7931,467,57,2239,5,17,1124,-39
2026-02-16T15:22:30.765642,32,black,c8b8,2rqr1k1/2p2pp1/p1pb1nbp/3pp3/3P2P1/P1N1B2P/1PPQPPB1/2R1R1K1 b - - 1 16,4,847,5399,166,35,847,6,22,739,-37
2026-02-16T15:22:31.214817,33,white,b2b4,1r1qr1k1/2p2pp1/p1pb1nbp/3pp3/3P2P1/P1N1B2P/1PPQPPB1/2R1R1K1 w - - 2 17,4,744,3186,176,59,744,5,20,449,-44
2026-02-16T15:22:31.657792,34,black,a6a5,1r1qr1k1/2p2pp1/p1pb1nbp/3pp3/1P1P2P1/P1N1B2P/2PQPPB1/2R1R1K1 b - - 0 17,4,783,3126,189,60,783,6,17,442,-37
2026-02-16T15:22:32.227381,35,white,b4a5,1r1qr1k1/2p2pp1/2pb1nbp/p2pp3/1P1P2P1/P1N1B2P/2PQPPB1/2R1R1K1 w - - 0 18,4,896,4093,224,70,896,5,17,569,-38
2026-02-16T15:22:34.297426,36,black,b8a8,1r1qr1k1/2p2pp1/2pb1nbp/P2pp3/3P2P1/P1N1B2P/2PQPPB1/2R1R1K1 b - - 0 18,4,1538,15537,223,55,1538,6,18,2069,-51
2026-02-16T15:22:34.839948,37,white,d4e5,r2qr1k1/2p2pp1/2pb1nbp/P2pp3/3P2P1/P1N1B2P/2PQPPB1/2R1R1K1 w - - 1 19,4,835,3976,159,7,835,5,20,542,-36
2026-02-16T15:22:35.201681,38,black,d6e5,r2qr1k1/2p2pp1/2pb1nbp/P2pP3/6P1/P1N1B2P/2PQPPB1/2R1R1K1 b - - 0 19,4,677,2660,227,35,677,5,15,361,-30
2026-02-16T15:22:35.554477,39,white,f2f4,r2qr1k1/2p2pp1/2p2nbp/P2pb3/6P1/P1N1B2P/2PQPPB1/2R1R1K1 w - - 0 20,4,744,2491,181,33,744,5,18,352,-12
2026-02-16T15:22:36.004686,40,black,e5d6,r2qr1k1/2p2pp1/2p2nbp/P2pb3/5PP1/P1N1B2P/2PQP1B1/2R1R1K1 b - - 0 20,4,641,3215,187,32,641,6,17,450,-47
2026-02-16T15:22:36.718514,41,white,g4g5,r2qr1k1/2p2pp1/2pb1nbp/P2p4/5PP1/P1N1B2P/2PQP1B1/2R1R1K1 w - - 1 21,4,1669,5295,238,37,1669,5,16,713,-56
2026-02-16T15:22:38.071249,42,black,h6g5,r2qr1k1/2p2pp1/2pb1nbp/P2p2P1/5P2/P1N1B2P/2PQP1B1/2R1R1K1 b - - 0 21,4,1527,10870,325,5,1527,6,20,1352,-72
2026-02-16T15:22:38.366362,43,white,f4g5,r2qr1k1/2p2pp1/2pb1nb1/P2p2p1/5P2/P1N1B2P/2PQP1B1/2R1R1K1 w - - 0 22,4,766,2334,138,38,766,5,16,295,-92
2026-02-16T15:22:38.889250,44,black,f6d7,r2qr1k1/2p2pp1/2pb1nb1/P2p2P1/8/P1N1B2P/2PQP1B1/2R1R1K1 b - - 0 22,4,867,4321,173,69,867,6,19,522,-82
2026-02-16T15:22:39.762387,45,white,e3d4,r2qr1k1/2pn1pp1/2pb2b1/P2p2P1/8/P1N1B2P/2PQP1B1/2R1R1K1 w - - 1 23,4,2282,7338,382,111,2282,5,18,873,-90
2026-02-16T15:22:40.731000,46,black,d6a3,r2qr1k1/2pn1pp1/2pb2b1/P2p2P1/3B4/P1N4P/2PQP1B1/2R1R1K1 b - - 2 23,4,1688,8064,323,14,1686,5,18,968,-94
2026-02-16T15:22:41.052432,47,white,c1a1,r2qr1k1/2pn1pp1/2p3b1/P2p2P1/3B4/b1N4P/2PQP1B1/2R1R1K1 w - - 0 24,4,1263,2592,245,53,1263,5,16,321,-123
2026-02-16T15:22:41.450439,48,black,a3e7,r2qr1k1/2pn1pp1/2p3b1/P2p2P1/3B4/b1N4P/2PQP1B1/R3R1K1 b - - 1 24,4,1072,3275,202,79,1072,6,17,397,-109
2026-02-16T15:22:41.614372,49,white,h3h4,r2qr1k1/2pnbpp1/2p3b1/P2p2P1/3B4/2N4P/2PQP1B1/R3R1K1 w - - 2 25,4,699,1283,169,69,699,6,12,163,-123
2026-02-16T15:22:43.040345,50,black,d7c5,r2qr1k1/2pnbpp1/2p3b1/P2p2P1/3B3P/2N5/2PQP1B1/R3R1K1 b - - 0 25,4,2844,12172,483,74,2843,6,18,1425,-99
2026-02-16T15:22:43.325200,51,white,a1d1,r2qr1k1/2p1bpp1/2p3b1/P1np2P1/3B3P/2N5/2PQP1B1/R3R1K1 w - - 1 26,4,839,2353,188,35,839,6,15,284,-99
2026-02-16T15:22:43.607532,52,black,c5e6,r2qr1k1/2p1bpp1/2p3b1/P1np2P1/3B3P/2N5/2PQP1B1/3RR1K1 b - - 2 26,4,621,2529,144,62,621,5,19,282,-99
2026-02-16T15:22:43.808882,53,white,e2e4,r2qr1k1/2p1bpp1/2p1n1b1/P2p2P1/3B3P/2N5/2PQP1B1/3RR1K1 w - - 3 27,4,624,1749,139,33,624,5,16,201,-87
2026-02-16T15:22:44.283405,54,black,e6d4,r2qr1k1/2p1bpp1/2p1n1b1/P2p2P1/3BP2P/2N5/2PQ2B1/3RR1K1 b - - 0 27,4,716,4312,229,3,716,5,17,474,-98
2026-02-16T15:22:45.063310,55,white,d2d4,r2qr1k1/2p1bpp1/2p3b1/P2p2P1/3nP2P/2N5/2PQ2B1/3RR1K1 w - - 0 28,4,944,7144,164,28,944,5,19,779,-86
2026-02-16T15:22:45.463188,56,black,a8a5,r2qr1k1/2p1bpp1/2p3b1/P2p2P1/3QP2P/2N5/2P3B1/3RR1K1 b - - 0 28,4,894,3740,179,41,894,6,15,399,-54
2026-02-16T15:22:45.777667,57,white,e4d5,3qr1k1/2p1bpp1/2p3b1/r2p2P1/3QP2P/2N5/2P3B1/3RR1K1 w - - 0 29,4,1066,2922,221,68,1066,5,13,314,-58
2026-02-16T15:22:45.928866,58,black,g6c2,3qr1k1/2p1bpp1/2p3b1/r2P2P1/3Q3P/2N5/2P3B1/3RR1K1 b - - 0 29,4,1010,1282,190,77,1010,6,11,151,-58
2026-02-16T15:22:46.119795,59,white,d1d2,3qr1k1/2p1bpp1/2p5/r2P2P1/3Q3P/2N5/2b3B1/3RR1K1 w - - 0 30,4,986,1732,161,74,986,6,10,190,-51
2026-02-16T15:22:47.404202,60,black,e7c5,3qr1k1/2p1bpp1/2p5/r2P2P1/3Q3P/2N5/2bR2B1/4R1K1 b - - 1 30,4,3857,11804,712,88,3857,6,16,1284,-712
2026-02-16T15:22:47.634255,61,white,e1e8,3qr1k1/2p2pp1/2p5/r1bP2P1/3Q3P/2N5/2bR2B1/4R1K1 w - - 2 31,4,1433,2037,260,13,1433,7,16,229,-753
2026-02-16T15:22:47.634346,62,black,d8e8,3qR1k1/2p2pp1/2p5/r1bP2P1/3Q3P/2N5/2bR2B1/6K1 b - - 0 31,4,4,0,0,4,4,0,0,0,-753
2026-02-16T15:22:47.928639,63,white,d4c5,4q1k1/2p2pp1/2p5/r1bP2P1/3Q3P/2N5/2bR2B1/6K1 w - - 0 32,4,2302,2720,344,61,2300,7,15,294,-864
2026-02-16T15:22:48.367754,64,black,e8e1,4q1k1/2p2pp1/2p5/r1QP2P1/7P/2N5/2bR2B1/6K1 b - - 0 32,5,3900,4121,685,212,3900,8,14,439,-878
2026-02-16T15:22:48.367846,65,white,g1h2,6k1/2p2pp1/2p5/r1QP2P1/7P/2N5/2bR2B1/4q1K1 w - - 1 33,5,5,0,0,5,5,0,0,0,-878
2026-02-16T15:22:48.824154,66,black,e1h4,6k1/2p2pp1/2p5/r1QP2P1/7P/2N5/2bR2BK/4q3 b - - 2 33,5,4145,4263,794,162,4141,8,15,456,-887
2026-02-16T15:22:48.824246,67,white,h2g1,6k1/2p2pp1/2p5/r1QP2P1/7q/2N5/2bR2BK/8 w - - 0 34,5,5,0,0,5,5,0,0,0,-887
2026-02-16T15:22:49.197807,68,black,h4e1,6k1/2p2pp1/2p5/r1QP2P1/7q/2N5/2bR2B1/6K1 b - - 1 34,5,3606,3594,656,185,3601,8,13,373,-969
2026-02-16T15:22:49.197896,69,white,g1h2,6k1/2p2pp1/2p5/r1QP2P1/8/2N5/2bR2B1/4q1K1 w - - 2 35,5,5,0,0,5,5,0,0,0,-969
2026-02-16T15:22:49.385222,70,black,a5c5,6k1/2p2pp1/2p5/r1QP2P1/8/2N5/2bR2BK/4q3 b - - 3 35,5,2137,1797,362,179,2134,7,12,187,-969
2026-02-16T15:22:49.511984,71,white,d2c2,6k1/2p2pp1/2p5/2rP2P1/8/2N5/2bR2BK/4q3 w - - 0 36,5,1026,1267,186,44,1026,7,13,126,-1005
2026-02-16T15:22:49.936811,72,black,c5c3,6k1/2p2pp1/2p5/2rP2P1/8/2N5/2R3BK/4q3 b - - 0 36,5,2710,4304,532,98,2705,8,15,424,-1040
2026-02-16T15:22:49.984179,73,white,c2c3,6k1/2p2pp1/2p5/3P2P1/8/2r5/2R3BK/4q3 w - - 0 37,5,527,448,133,41,527,7,8,47,-1040
2026-02-16T15:22:50.140697,74,black,e1c3,6k1/2p2pp1/2p5/3P2P1/8/2R5/6BK/4q3 b - - 0 37,5,1803,1640,373,98,1799,8,10,156,-1022
2026-02-16T15:22:50.586092,75,white,d5c6,6k1/2p2pp1/2p5/3P2P1/8/2q5/6BK/8 w - - 0 38,6,5287,4814,1068,482,5268,9,13,445,-1021
2026-02-16T15:22:51.385791,76,black,c3e5,6k1/2p2pp1/2P5/6P1/8/2q5/6BK/8 b - - 0 38,6,9669,8417,1732,745,9660,9,12,799,-1068
2026-02-16T15:22:51.385886,77,white,h2h3,6k1/2p2pp1/2P5/4q1P1/8/8/6BK/8 w - - 1 39,6,6,0,0,6,6,0,0,0,-1068
2026-02-16T15:22:51.596180,78,black,e5g5,6k1/2p2pp1/2P5/4q1P1/8/7K/6B1/8 b - - 2 39,6,2670,2221,532,157,2666,8,10,210,-1060
2026-02-16T15:22:52.427066,79,white,g2f3,6k1/2p2pp1/2P5/6q1/8/7K/6B1/8 w - - 0 40,6,11134,8319,2411,1185,11079,9,13,830,-1102
2026-02-16T15:22:53.035621,80,black,g8h7,6k1/2p2pp1/2P5/6q1/8/5B1K/8/8 b - - 1 40,6,8090,5944,1790,786,8050,9,14,608,-1094
2026-02-16T15:22:53.173095,81,white,h3h2,8/2p2ppk/2P5/6q1/8/5B1K/8/8 w - - 2 41,6,1998,1358,394,365,1996,7,11,137,-1131
2026-02-16T15:22:53.423742,82,black,g7g6,8/2p2ppk/2P5/6q1/8/5B2/7K/8 b - - 3 41,6,3574,2477,760,372,3556,8,10,250,-1128
2026-02-16T15:22:53.732198,83,white,f3g2,8/2p2p1k/2P3p1/6q1/8/5B2/7K/8 w - - 0 42,6,4276,3026,928,506,4248,9,11,308,-1126
2026-02-16T15:22:54.124719,84,black,f7f5,8/2p2p1k/2P3p1/6q1/8/8/6BK/8 b - - 1 42,6,5339,3911,1071,665,5317,9,12,392,-1215
2026-02-16T15:22:54.284551,85,white,g2f3,8/2p4k/2P3p1/5pq1/8/8/6BK/8 w - - 0 43,6,2253,1529,557,319,2239,9,12,159,-1226
2026-02-16T15:22:54.490607,86,black,f5f4,8/2p4k/2P3p1/5pq1/8/5B2/7K/8 b - - 1 43,6,3056,2074,590,480,3046,9,10,205,-1226
2026-02-16T15:22:54.718976,87,white,f3g2,8/2p4k/2P3p1/6q1/5p2/5B2/7K/8 w - - 0 44,6,3322,2289,737,376,3316,9,13,228,-1435
2026-02-16T15:22:54.812557,88,black,g5g3,8/2p4k/2P3p1/6q1/5p2/8/6BK/8 b - - 1 44,6,1577,1001,248,268,1572,9,10,93,-1465
