timestamp,move_number,side,move_uci,fen,depth,nodes,qnodes,cutoffs,tt_hits,tt_probes,max_ply,max_qply,time_ms,eval_cp
2026-02-16T15:16:39.189953,1,white,g1f3,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,5,1394,994,225,176,1394,6,11,205,25
2026-02-16T15:16:39.321055,2,black,g8f6,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,5,1018,845,137,101,1018,5,10,130,0
2026-02-16T15:16:39.426141,3,white,b1c3,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,5,862,703,76,124,862,5,9,105,28
2026-02-16T15:16:39.586485,4,black,b8c6,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,5,993,1079,110,64,993,5,11,160,0
2026-02-16T15:16:40.194272,5,white,e2e4,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3,5,2735,3780,572,154,2735,6,17,607,23
2026-02-16T15:16:40.386272,6,black,d7d5,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 3,5,1138,1260,156,111,1138,6,11,191,7
2026-02-16T15:16:41.142169,7,white,e4d5,r1bqkb1r/ppp1pppp/2n2n2/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,5,3353,4386,539,55,3353,7,11,755,81
2026-02-16T15:16:42.022624,8,black,f6d5,r1bqkb1r/ppp1pppp/2n2n2/3P4/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 4,5,4760,5545,867,282,4760,7,14,880,11
2026-02-16T15:16:42.464450,9,white,c3d5,r1bqkb1r/ppp1pppp/2n5/3n4/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 5,5,2439,2898,435,101,2439,8,11,441,53
2026-02-16T15:16:42.680435,10,black,d8d5,r1bqkb1r/ppp1pppp/2n5/3N4/8/5N2/PPPP1PPP/R1BQKB1R b KQkq - 0 5,5,1620,1472,178,161,1620,7,10,215,3
2026-02-16T15:16:42.930225,11,white,f1e2,r1b1kb1r/ppp1pppp/2n5/3q4/8/5N2/PPPP1PPP/R1BQKB1R w KQkq - 0 6,5,1357,1721,177,88,1357,6,13,249,24
2026-02-16T15:16:43.313936,12,black,c8e6,r1b1kb1r/ppp1pppp/2n5/3q4/8/5N2/PPPPBPPP/R1BQK2R b KQkq - 1 6,5,2912,2820,198,166,2912,6,9,383,6
2026-02-16T15:16:43.782591,13,white,c2c4,r3kb1r/ppp1pppp/2n1b3/3q4/8/5N2/PPPPBPPP/R1BQK2R w KQkq - 2 7,5,2846,3074,587,145,2846,7,10,468,51
2026-02-16T15:16:45.058842,14,black,d5d6,r3kb1r/ppp1pppp/2n1b3/3q4/2P5/5N2/PP1PBPPP/R1BQK2R b KQkq - 0 7,5,5157,8844,832,240,5157,7,15,1276,20
2026-02-16T15:16:45.564084,15,white,e1g1,r3kb1r/ppp1pppp/2nqb3/8/2P5/5N2/PP1PBPPP/R1BQK2R w KQkq - 1 8,5,2633,3524,429,64,2633,7,11,505,26
2026-02-16T15:16:46.280141,16,black,e8c8,r3kb1r/ppp1pppp/2nqb3/8/2P5/5N2/PP1PBPPP/R1BQ1RK1 b kq - 2 8,5,4621,4992,618,166,4621,7,12,715,22
2026-02-16T15:16:46.474668,17,white,f3g5,2kr1b1r/ppp1pppp/2nqb3/8/2P5/5N2/PP1PBPPP/R1BQ1RK1 w - - 3 9,5,1182,1357,203,83,1182,7,10,194,30
2026-02-16T15:16:46.821169,18,black,c6d4,2kr1b1r/ppp1pppp/2nqb3/6N1/2P5/8/PP1PBPPP/R1BQ1RK1 b - - 4 9,5,2523,2458,360,220,2523,7,9,346,29
2026-02-16T15:16:48.432714,19,white,e2h5,2kr1b1r/ppp1pppp/3qb3/6N1/2Pn4/8/PP1PBPPP/R1BQ1RK1 w - - 5 10,5,7788,11592,1190,244,7788,8,14,1611,28
2026-02-16T15:16:49.647126,20,black,e6c4,2kr1b1r/ppp1pppp/3qb3/6NB/2Pn4/8/PP1P1PPP/R1BQ1RK1 b - - 6 10,5,5639,8639,1086,220,5639,7,18,1214,-20
2026-02-16T15:16:51.114178,21,white,d2d3,2kr1b1r/ppp1pppp/3q4/6NB/2bn4/8/PP1P1PPP/R1BQ1RK1 w - - 0 11,5,7199,10826,1069,185,7199,7,14,1466,78
2026-02-16T15:16:51.795429,22,black,f7f6,2kr1b1r/ppp1pppp/3q4/6NB/2bn4/3P4/PP3PPP/R1BQ1RK1 b - - 0 11,5,3887,4855,603,302,3887,7,13,681,61
2026-02-16T15:16:52.367423,23,white,d3c4,2kr1b1r/ppp1p1pp/3q1p2/6NB/2bn4/3P4/PP3PPP/R1BQ1RK1 w - - 0 12,5,3135,4074,405,197,3134,7,12,571,70
